,ricf_oid,ba_cn,ba_nfe,ba_gvm,ba_pgv,ba_ntr,ba_fdt,ba_bn,ba_evl,fa_dine_this,fa_dinu_this,cf_govc,fp_tt,sc_gongo,sco_na,Province,ba_age,fa_dint,ba_gvof
359,3206,陕西省红十字基金会,5,1,0,1.0,2009-03-31,7.0,3,0.0,5201568.0,0.0,1591.41,1,0,Shaanxi,6.0,520.16,10
361,892,台州职业技术学院涌泉奖助基金会,0,0,0,0.0,2007-04-20,9.0,4,0.0,771110.71,0.0,972.02,1,0,Zhejiang,8.0,77.11,00
363,185,中华思源工程扶贫基金会,41,1,1,1.0,2007-03-22,20.0,4,214451990.91,41050.49,120.0,25453.4,1,1,Beijing,8.0,21449.3,11
366,267,中国绿色碳汇基金会,16,0,0,1.0,2010-07-19,14.0,4,53153126.41,227493.0,60.0,15499.6,1,1,Beijing,5.0,5338.06,00
369,115,上海民建扶帮公益基金会,0.0,8,0.0,0.0,2009年07月31日,17.0,3,4557479.8,4766621.0,0.0,2375.33,1,0,Shanghai,6.0,932.41,80.0
370,3731,朝阳市教育基金会,5,0,0,1.0,2014-03-11,19.0,1,0.0,1664130.28,0.0,718.79,1,0,Liaoning,1.0,166.41,00
371,2738,石家庄市志愿服务基金会,3,2,0,0.0,2011-03-29,25.0,5,444536.11,0.0,0.0,768.23,1,0,Hebei,4.0,44.45,20
379,182,中华国际医学交流基金会,11,0,0,1.0,1988-06-13,12.0,3,0.0,116304135.02,0.0,11852.99,1,1,Beijing,27.0,11630.41,00
380,3221,陕西纯山教育基金会,9,0,0,0.0,2006-09-15,7.0,4,3552578.54,522071.97,20.0,596.32,0,0,Shaanxi,9.0,407.47,00
381,410,内蒙古乌拉特后旗盛安爱心济困基金会,3,0,0,0.0,2012-04-17,11.0,3,0.0,0.0,0.0,200.4,0,0,Neimenggu,3.0,0.0,00
386,346,云南省绿色环境发展基金会,9,0,1,1.0,2008-01-14,15.0,4,11301106.32,0.0,0.0,1228.04,1,0,Yunnan,7.0,1130.11,01
389,3190,陕西省宝鸡市老龄事业发展基金会,4,0,0,1.0,1989-08-12,16.0,1,0.0,87600.0,28.3,485.78,1,0,Shaanxi,26.0,8.76,00
390,271,中国航天基金会,12,0,0,1.0,1995-03-01,18.0,3,1300000.0,6300130.0,0.0,12374.82,1,1,Beijing,20.0,760.01,00
391,2270,浙江省妇女儿童基金会,12,0,0,1.0,1981-04-04,25.0,4,11202353.19,447420.93,0.0,1325.24,1,0,Zhejiang,34.0,1164.98,00
392,256,中国癌症基金会,29,0,0,1.0,1984-10-26,19.0,4,4285512865.25,5186065.42,135.0,124972.29,1,1,Beijing,31.0,429069.89,00
396,3291,马海德基金会,0,0,0,0.0,1989-12-26,13.0,1,0.0,1281746.6,0.0,916.23,0,1,Beijing,26.0,128.17,00
400,3088,重庆市南川区教育基金会,1,0,0,0.0,2010-07-07,17.0,2,1363753.1,0.0,0.0,234.9,1,0,Chongqing,5.0,136.38,00
404,67,上海市大学生科技创业基金会,6.0,0,0.0,1.0,2006年08月15日,15.0,4,1000000.0,0.0,1800.0,126680.55,1,0,Shanghai,9.0,100.0,00.0
406,2080,河北进德公益基金会,26,1,0,0.0,2011-05-31,7.0,4,13873566.76,430070.23,0.0,1167.41,0,0,Hebei,4.0,1430.36,10
410,2763,福建大丰文化基金会,6,0,0,0.0,1991-01-08,5.0,4,300000.0,764272.0,0.0,1278.9,0,0,Fujian,24.0,106.43,00
422,1058,天津南开大学教育基金会,15,1,1,0.0,2004-06-02,16.0,5,72705411.25,0.0,0.0,16019.24,1,0,Tianjin,11.0,7270.54,11
424,2308,浙江省阳光教育基金会,5,0,0,0.0,2010-08-11,13.0,4,2063262.8,600000.0,10.0,1421.28,0,0,Zhejiang,5.0,266.33,00
431,227,中国国际文化交流基金会,1,0,0,1.0,1984-07-05,5.0,3,13613645.3,0.0,0.0,4477.38,1,1,Beijing,31.0,1361.36,00
432,235,中国志愿服务基金会,16,0,2,1.0,2009-02-16,16.0,4,9923210.0,3669722.44,0.0,9036.4,1,1,Beijing,6.0,1359.29,02
433,356,西双版纳州热带雨林保护基金会,4,0,0,1.0,2010-06-21,19.0,3,0.0,190000.0,0.0,667.33,1,0,Yunnan,5.0,19.0,00
434,1628,广西师范大学教育发展基金会,5,0,0,0.0,2006-11-28,19.0,5,2705669.1,0.0,0.0,3991.76,1,0,Guangxi,9.0,270.57,00
443,2066,河北师范大学教育基金会,4,0,0,0.0,2010-03-05,13.0,5,199050.0,1130669.0,0.0,1721.13,1,0,Hebei,5.0,132.97,00
446,448,内蒙古自治区残疾人福利基金会,7,1,0,1.0,2005-12-22,11.0,3,6000000.0,28215664.0,25.0,1936.57,1,0,Neimenggu,10.0,3421.57,10
448,222,中国发展研究基金会,19,0,3,1.0,1997-11-27,17.0,4,98783446.57,0.0,50.0,27533.38,1,1,Beijing,18.0,9878.34,03
450,505,北京交通大学教育基金会,10,0,0,0.0,2009-07-29,19.0,4,45342707.45,10661135.44,0.0,22230.78,1,1,Beijing,6.0,5600.38,00
454,1680,心和公益基金会,10,0,0,0.0,2008-09-19,8.0,3,0.0,22200290.0,0.0,5097.44,0,1,Beijing,7.0,2220.03,00
456,205,中国保护消费者基金会,8,0,0,1.0,1989-11-27,8.0,1,0.0,0.0,0.0,1026.46,1,1,Beijing,26.0,0.0,00
458,3184,陕西省农业发展基金会,3,0,0,0.0,2005-09-13,7.0,2,0.0,608374.2,0.0,302.19,1,0,Shaanxi,10.0,60.84,00
461,184,中华少年儿童慈善救助基金会,47,0,0,1.0,2009-09-10,17.0,3,334446402.04,2616807.38,0.0,28850.31,1,1,Beijing,6.0,33706.32,00
463,112,上海曙光中医药研究发展基金会,2.0,0,0.0,0.0,2009年05月20日,23.0,4,0.0,2662200.0,0.0,385.49,0,0,Shanghai,6.0,266.22,00.0
468,77,上海市教育发展基金会,10.0,0,0.0,1.0,1994年02月08日,24.0,5,95604899.03,1202557.82,0.0,34930.49,1,0,Shanghai,21.0,9680.75,00.0
472,3311,黑龙江省东北林业大学教育发展基金会,4,9,0,0.0,2010-04-12,19.0,4,3054400.0,0.0,0.0,564.63,1,0,Heilongjiang,5.0,305.44,90
473,1053,大连市青少年发展基金会,6,0,0,0.0,2005-10-25,11.0,5,16510520.24,123913.35,0.0,3511.01,1,0,Liaoning,10.0,1663.44,00
